Date,Time,TxBat(V),RSSI(dB),RX,RxBatt(V),VFR(%),Altitude(m),VSpeed(m/s),ADC2(V),LiPo1(V),LiPo2(V),LiPo3(V),LiPo4(V),LiPo5(V),LiPo6(V),LiPo7(V),LiPo8(V),Latitude, Longitude,GPS Alt(m),GPS Speed(km/h),GPS Clock(),MOTOR,Rudder,Elevator,Throttle,Aileron,Pot1,Pot2,Slider left,Slider right,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LS1,LS2,LS3,LS4,LS5,LS6,LS7,LS8,LS9,LS10,LS11,LS12,LS13,LS14,LS15,LS16,LS17,LS18,LS19,LS20,LS21,LS22,LS23,LS24,LS25,LS26,LS27,LS28,LS29,LS30,
2024-02-11,15:34:40.990,8.0,74,0,5.83,99,0,0.0,0.00,,,,,,,,,45.043600, 7.406700,,0,2024-02-11 15:34:40,-1024,0,0,1024,0,1024,1024,0,1024,0,-1,1,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-11,15:34:41.080,8.0,74,0,5.85,99,0,0.0,0.00,,,,,,,,,45.043600, 7.406700,,0,2024-02-11 15:34:40,-1024,0,0,1023,0,1024,1024,0,1024,0,-1,1,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-11,15:34:41.190,8.0,73,0,5.83,99,0,0.1,0.00,,,,,,,,,45.043600, 7.406700,,0,2024-02-11 15:34:40,-1024,0,0,1023,0,1024,1024,0,1024,0,-1,1,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-11,15:34:41.300,8.0,74,0,5.85,99,0,0.1,0.00,,,,,,,,,45.043600, 7.406700,,0,2024-02-11 15:34:40,-1024,0,0,1024,0,1024,1024,0,1024,0,-1,1,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-11,15:34:41.410,8.0,73,0,5.86,98,0,0.1,0.00,,,,,,,,,45.043600, 7.406700,-0.7,0,2024-02-11 15:34:40,-1024,0,0,1023,0,1024,1024,0,1024,0,-1,1,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-11,15:34:41.520,8.0,73,0,5.87,98,0,0.1,0.00,,,,,,,,,45.043600, 7.406700,-0.7,0,2024-02-11 15:34:41,-1024,0,0,1023,0,1024,1024,0,1024,0,-1,1,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-11,15:34:41.630,8.0,73,0,5.88,98,0,0.0,0.00,,,,,,,,,45.043600, 7.406700,-0.7,0,2024-02-11 15:34:41,-1024,0,0,1024,0,1024,1024,0,1024,0,-1,1,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-11,15:34:41.740,8.0,73,0,5.89,97,0,0.0,0.00,,,,,,,,,45.043600, 7.406700,-0.7,0,2024-02-11 15:34:41,-1024,0,0,1024,0,1024,1024,0,1024,0,-1,1,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-11,15:34:41.850,8.0,74,0,5.86,97,0,0.0,0.00,,,,,,,,,45.043600, 7.406700,-0.7,0,2024-02-11 15:34:41,-1024,0,0,1023,0,1024,1024,0,1024,0,-1,1,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-11,15:34:41.960,8.0,73,0,5.87,95,0,0.0,0.00,,,,,,,,,45.043600, 7.406700,-0.7,0,2024-02-11 15:34:41,-1024,0,0,1023,0,1024,1024,0,1024,0,-1,1,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-11,15:34:42.070,8.0,73,0,5.88,95,0,0.0,0.00,,,,,,,,,45.043600, 7.406700,-0.7,0,2024-02-11 15:34:41,-1024,0,0,1023,0,1024,1024,0,1024,0,-1,1,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-11,15:34:42.180,8.0,73,0,5.88,95,0,-0.1,0.00,,,,,,,,,45.043600, 7.406700,-0.7,0,2024-02-11 15:34:41,-1024,0,0,1023,0,1024,1024,0,1024,0,-1,1,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-11,15:34:42.290,8.0,74,0,5.79,95,0,-0.1,0.00,,,,,,,,,45.043600, 7.406700,-0.7,0,2024-02-11 15:34:41,-1024,0,0,1024,0,1024,1024,0,1024,0,-1,1,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-11,15:34:42.400,8.0,74,0,5.79,94,0,-0.1,0.00,,,,,,,,,45.043600, 7.406700,-1.2,0,2024-02-11 15:34:41,-1024,0,0,1023,0,1024,1024,0,1024,0,-1,1,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-11,15:34:42.520,8.0,74,0,5.81,94,0,-0.1,0.00,,,,,,,,,45.043600, 7.406700,-1.2,0,2024-02-11 15:34:42,-1024,0,0,1023,0,1024,1024,0,1024,0,-1,1,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-11,15:34:42.640,8.0,73,0,5.73,94,0,-0.1,0.00,,,,,,,,,45.043600, 7.406700,-1.2,0,2024-02-11 15:34:42,-1024,0,0,1023,0,1024,1024,0,1024,0,-1,1,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-11,15:34:42.750,8.0,74,0,5.77,94,0,-0.1,0.00,,,,,,,,,45.043600, 7.406700,-1.2,0,2024-02-11 15:34:42,-1024,0,0,1023,0,1024,1024,0,1024,0,-1,1,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-11,15:34:42.860,8.0,73,0,5.81,94,0,0.0,0.00,,,,,,,,,45.043600, 7.406700,-1.2,0,2024-02-11 15:34:42,-1024,0,0,1024,0,1024,1024,0,1024,0,-1,1,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-11,15:34:42.970,8.0,74,0,5.83,94,0,0.0,0.00,,,,,,,,,45.043600, 7.406700,-1.2,0,2024-02-11 15:34:42,-1024,0,0,1023,0,1024,1024,0,1024,0,-1,1,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
2024-02-11,15:34:43.090,8.0,74,0,5.82,94,0,0.0,0.00,,,,,,,,,45.043600, 7.406700,-1.2,0,2024-02-11 15:34:42,-1024,0,0,1023,0,1024,1024,0,1024,0,-1,1,0,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
