Date,Time,TxBat(V),RSSI(dB),RX,RxBatt(V),VFR(%),Altitude(m),VSpeed(m/s),ADC2(V),LiPo1(V),LiPo2(V),LiPo3(V),LiPo4(V),LiPo5(V),LiPo6(V),LiPo7(V),LiPo8(V),Latitude, Longitude,GPS Alt(m),GPS Speed(km/h),GPS Clock(),Rudder,Elevator,Throttle,Aileron,Pot1,Pot2,Slider left,Slider right,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LS1,LS2,LS3,LS4,LS5,LS6,LS7,LS8,LS9,LS10,LS11,LS12,LS13,LS14,LS15,LS16,LS17,LS18,LS19,LS20,LS21,LS22,LS23,LS24,LS25,LS26,LS27,LS28,
2024-01-04,14:20:00.580,7.8,74,0,5.90,100,,,0.00,,,,,,,,,,,,,,0,0,1015,0,1024,1024,-702,0,-1,-1,1,1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,
2024-01-04,14:20:00.800,7.9,74,0,5.90,100,,,0.00,,,,,,,,,,,,,,0,0,1015,0,1024,1024,-702,0,-1,-1,1,1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,
2024-01-04,14:20:01.070,7.8,74,0,5.90,100,,,0.00,,,,,,,,,,,,,,0,0,1014,0,1024,1024,-701,0,-1,-1,1,1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,
2024-01-04,14:20:01.340,7.9,74,0,5.81,100,,,0.00,,,,,,,,,,,,,,0,0,1014,0,1024,1024,-702,0,-1,-1,1,1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,
2024-01-04,14:20:01.620,7.9,74,0,5.86,100,,,0.00,,,,,,,,,,,,,,0,0,1014,0,1024,1024,-702,0,-1,-1,1,1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,
2024-01-04,14:20:01.890,7.9,74,0,5.86,100,,,0.00,,,,,,,,,,,,,,0,0,1015,0,1024,1024,-702,0,-1,-1,1,1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,
2024-01-04,14:20:02.150,7.8,74,0,5.88,100,85,,0.00,,,,,,,,,,,,,,0,0,1015,0,1024,1024,-702,0,-1,-1,1,1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,
2024-01-04,14:20:02.410,7.9,74,0,5.87,100,113,,0.00,,,,,,,,,,,,,,0,0,1015,0,1024,1024,-702,0,-1,-1,1,1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,
2024-01-04,14:20:02.670,7.8,74,0,5.88,100,126,10.0,0.00,,,,,,,,,,,,,,0,0,1015,0,1024,1024,-701,0,-1,-1,1,1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,
2024-01-04,14:20:02.940,7.9,74,0,5.78,100,127,10.0,0.00,4.21,4.22,4.21,4.21,,,,,,,,,,0,0,1015,0,1024,1024,-702,0,-1,-1,1,1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,
